titulo,autor,paginas,genero,nota,leram,favoritos,ano_publicacao,genero_autor,pais_origem,sigla_pais,nota_renata,inicio_leitura,fim_leitura,dias_leitura,ano_fim_leitura,fic_nfic,M1F0,BR,gostei,fav_ind
O Menino do Pijama Listrado,Oliver Jeffers,190,Literatura Estrangeira / Romance / Drama / Ficção ,4.4,337744,13418,2006,M,Irlanda,IRL,3.5,,,,2010,1.0,1.0,0.0,1.0,0.03972831493675683
Marley & Eu,John Grogan,303,Animais de Estimação / Drama / Ficção / Literatura Estrangeira / Romance ,4.3,208949,10117,2005,M,Estados Unidos,USA,3.5,,,,2007,1.0,1.0,0.0,1.0,0.048418513608583916
As Aventuras de Pi,Yann Martel,424,Literatura Estrangeira / Aventura / Fábula / Ficção / Filosofia / Religião e Espiritualidade / Romance ,4.1,8149,881,2001,M,Espanha,ESP,5.0,,,,2009,1.0,1.0,0.0,1.0,0.10811142471468892
Harry Potter e o Enigma do Príncipe,J.K. Rowling,472,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,460809,39651,2005,F,Reino Unido,GBR,4.0,,,,2015,1.0,0.0,0.0,1.0,0.08604649648769881
A Menina que Roubava Livros,Markus Zusak,480,Drama / Ficção / Literatura Estrangeira / Romance / História ,4.5,420199,42659,2005,M,Austrália,AUS,5.0,,,,2014,1.0,1.0,0.0,1.0,0.10152094602795342
A Culpa é das Estrelas,John Green,288,Literatura Estrangeira / Romance ,4.2,605630,37343,2012,M,Estados Unidos,USA,3.0,,,,2013,1.0,1.0,0.0,0.0,0.061659759258953485
O Pequeno Príncipe,Antoine de Saint-Exupéry,96,Infantil ,4.5,752777,50112,1943,M,França,FRA,5.0,,,,2005,1.0,1.0,0.0,1.0,0.06656951527477593
O Vendedor de Sonhos,Augusto Cury,296,Ficção / Literatura Brasileira / Romance / Psicologia ,3.8,68903,2605,2008,M,Brasil,BRA,1.5,,,,2012,1.0,1.0,1.0,0.0,0.03780677183867175
A Menina Que Não Sabia Ler,John Harding,282,Ficção / Literatura Estrangeira / Romance ,3.6,40320,2333,2008,M,Reino Unido,GBR,2.5,,,,2020,1.0,1.0,0.0,0.0,0.05786210317460318
Um Dia,David Nicholls,414,Romance / Literatura Estrangeira / Ficção / Jovem adulto ,4.1,61917,7995,2009,M,Reino Unido,GBR,4.0,,,,2011,1.0,1.0,0.0,1.0,0.1291244730849363
Quarto,Emma Donoghue,350,Drama / Literatura Estrangeira / Romance ,4.4,9773,1506,2010,F,Irlanda,IRL,5.0,,,,2014,1.0,0.0,0.0,1.0,0.15409802517139057
Laranja Mecânica,Anthony Burgess,224,Distopia / Ficção / Literatura Estrangeira ,4.4,43477,6439,1962,M,Reino Unido,GBR,3.5,,,,2019,1.0,1.0,0.0,1.0,0.1481012949375532
Ensaio Sobre a Cegueira,José Saramago,312,Ficção / Literatura Estrangeira / Romance ,4.6,69917,8338,1995,M,Portugal,PRT,4.0,,,,2012,1.0,1.0,0.0,1.0,0.11925568888825322
O incolor Tsukuru Tazaki e seus anos de peregrinação,Haruki Murakami,328,Ficção / Literatura Estrangeira / Romance ,4.2,2775,321,2013,M,Japão,JPN,2.0,,,,2013,1.0,1.0,0.0,0.0,0.11567567567567567
O Apanhador no Campo de Centeio,J. D. Salinger,208,Ficção / Literatura Estrangeira / Romance ,4.0,44417,4799,1951,M,Estados Unidos,USA,3.0,,,,2013,1.0,1.0,0.0,0.0,0.10804421730418533
Grandes esperanças,Charles Dickens,704,Ficção / Literatura Estrangeira / Romance ,4.4,4963,832,1861,M,Reino Unido,GBR,3.0,,,,2010,1.0,1.0,0.0,0.0,0.16764053999597017
Harry Potter e a Pedra Filosofal,J.K. Rowling,224,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.5,714357,52054,1997,F,Reino Unido,GBR,5.0,,,,2008,1.0,0.0,0.0,1.0,0.07286832774089146
Limpe Sua Mente,S.J. Scott,155,Autoajuda ,3.6,44,2,2016,M,Estados Unidos,USA,3.5,,,,2019,0.0,1.0,0.0,1.0,0.045454545454545456
Quatro vidas de um cachorro,W. Bruce Cameron,288,Ficção / Romance / Animais de Estimação / Literatura Estrangeira ,4.4,12000,1603,2010,M,Estados Unidos,USA,4.5,,,,2010,1.0,1.0,0.0,1.0,0.13358333333333333
A Garota Que Você Deixou Para Trás,Jojo Moyes,384,Romance / Ficção / Literatura Estrangeira ,4.3,28476,3175,2012,F,Reino Unido,GBR,3.0,,12/09/20,,2020,1.0,0.0,0.0,0.0,0.11149740132041017
O Homem Invisível,H. G. Wells,176,Literatura Estrangeira / Romance / Ficção científica,3.6,6162,183,1897,M,Reino Unido,GBR,3.0,05/10/22,11/10/22,6.0,2022,1.0,1.0,0.0,0.0,0.02969814995131451
Por que vivemos,Kentetsu Takamori,320,Literatura Estrangeira / Religião e Espiritualidade / Autoajuda / Não-ficção,3.5,41,3,2017,M,Japão,JPN,3.0,07/02/22,01/03/22,22.0,2022,0.0,1.0,0.0,0.0,0.07317073170731707
Mulherzinhas,Louisa May Alcott,450,Literatura Estrangeira / Ficção / Romance ,4.3,20747,2824,1868,F,Estados Unidos,USA,3.0,02/01/22,22/02/22,51.0,2022,1.0,0.0,0.0,0.0,0.13611606497324916
Um Novo Mundo,Echkart Tolle,267,Psicologia ,4.4,1733,212,2005,M,Alemanha,DEU,4.0,02/05/22,17/06/22,46.0,2022,0.0,1.0,0.0,1.0,0.12233121754183497
Vale do Arco-Íris,L. M. Montgomery,272,Aventura / Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.0,5500,231,1919,F,Canadá,CAN,3.5,10/07/22,28/07/22,18.0,2022,1.0,0.0,0.0,1.0,0.042
A Mulher Ruiva,Orhan Pamuk,296,Ficção / Literatura Estrangeira / Romance ,4.0,1879,70,2016,M,Turquia,TUR,4.0,16/02/23,08/03/23,20.0,2023,1.0,1.0,0.0,1.0,0.03725385843533795
